CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
79,5e,PR1,Exten,125,14.11,139.70,1.32,0.00,0.00,0.33,0.00,0.00,0.00,3.30,0.00,0.99,0.00,0.00,0.00,0.20
79,5e,PR1,Exten,135,12.32,124.59,1.08,0.00,0.00,0.27,0.00,0.00,0.00,2.71,0.00,0.85,0.00,0.00,0.00,0.17
79,5e,PR1,Exten,145,10.45,108.12,0.85,0.00,0.00,0.22,0.00,0.00,0.00,2.17,0.00,0.71,0.00,0.00,0.00,0.15
79,5e,PR1,Exten,155,8.63,91.39,0.66,0.00,0.00,0.17,0.00,0.00,0.00,1.70,0.00,0.58,0.00,0.00,0.00,0.12
79,5e,PR1,Exten,165,6.94,75.31,0.49,0.00,0.00,0.14,0.00,0.00,0.00,1.30,0.00,0.46,0.00,0.00,0.00,0.10
79,5e,PR1,Exten,175,5.43,60.55,0.36,0.00,0.00,0.10,0.00,0.00,0.00,0.97,0.00,0.35,0.00,0.00,0.00,0.07
79,5e,PR1,Exten,185,4.15,47.52,0.25,0.00,0.00,0.07,0.00,0.00,0.00,0.71,0.00,0.27,0.00,0.00,0.00,0.06
79,5e,PR1,Exten,195,3.10,36.42,0.17,0.00,0.00,0.05,0.00,0.00,0.00,0.51,0.00,0.20,0.00,0.00,0.00,0.04
79,5e,PR1,Exten,205,2.25,27.26,0.12,0.00,0.00,0.04,0.00,0.00,0.00,0.36,0.00,0.14,0.00,0.00,0.00,0.03
79,5e,PR1,Exten,215,1.60,19.95,0.07,0.00,0.00,0.02,0.00,0.00,0.00,0.24,0.00,0.10,0.00,0.00,0.00,0.02
79,5e,PR1,Exten,225,1.11,14.27,0.05,0.00,0.00,0.02,0.00,0.00,0.00,0.16,0.00,0.07,0.00,0.00,0.00,0.01
79,5e,PR1,Exten,235,0.75,9.98,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.11,0.00,0.04,0.00,0.00,0.00,0.01
79,5e,PR1,Exten,245,0.50,6.82,0.01,0.00,0.00,9.11542571056594e-03,0.00,0.00,0.00,0.07,0.00,0.03,0.00,0.00,0.00,7.58188600052045e-03
79,5e,PR1,Exten,255,0.32,4.56,0.01,0.00,0.00,5.90272235992332e-03,0.00,0.00,0.00,0.04,0.00,0.02,0.00,0.00,0.00,4.94095587822452e-03
80,5e,PR1,Intn1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,15,0.60,31.62,2.06,0.00,0.59,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,25,1.39,71.90,4.01,0.00,1.09,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,35,2.26,116.84,5.78,0.00,1.42,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,45,3.12,161.28,7.23,0.00,1.58,0.00,0.00,0.00,0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,55,3.87,201.20,8.27,0.00,1.62,0.00,0.00,0.00,0.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,65,4.45,233.57,8.86,0.00,1.58,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,75,4.84,256.42,9.01,0.00,1.49,0.00,0.00,0.00,0.00,1.93,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,85,5.00,268.85,8.77,0.00,1.37,0.00,0.00,0.00,0.00,1.87,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,95,4.97,270.90,8.19,0.00,1.24,0.00,0.00,0.00,0.00,1.74,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,105,4.75,263.50,7.38,0.00,1.10,0.00,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,115,4.39,248.16,6.43,0.00,0.95,0.00,0.00,0.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,125,3.93,226.82,5.41,0.00,0.81,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,135,3.42,201.53,4.41,0.00,0.68,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,145,2.89,174.30,3.49,0.00,0.56,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,155,2.38,146.90,2.69,0.00,0.45,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,165,1.91,120.73,2.01,0.00,0.36,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,175,1.49,96.83,1.46,0.00,0.28,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,185,1.13,75.83,1.03,0.00,0.21,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,195,0.84,58.01,0.71,0.00,0.16,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,205,0.61,43.36,0.48,0.00,0.11,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,215,0.43,31.68,0.31,0.00,0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,225,0.30,22.63,0.20,0.00,0.05,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,235,0.20,15.81,0.12,0.00,0.04,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,245,0.13,10.80,0.07,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
80,5e,PR1,Intn1,255,0.08,7.22,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,15,0.02,2.5525998360666e-03,0.46,2.88706626812633e-03,5.22940797807882e-03,2.44067366780127e-03,0.00,0.00,0.00,7.06250763951103e-03,0.00,4.00615950268499e-03,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,25,0.24,0.02,4.46,0.03,0.04,0.02,0.00,0.00,0.00,0.08,0.00,0.04,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,35,0.98,0.11,15.84,0.12,0.15,0.10,0.00,0.00,0.00,0.33,0.00,0.18,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,45,2.25,0.26,33.01,0.24,0.28,0.19,0.00,0.00,0.00,0.73,0.00,0.42,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,55,3.62,0.42,48.94,0.31,0.37,0.24,0.00,0.00,0.00,1.13,0.00,0.67,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,65,4.64,0.55,58.50,0.33,0.41,0.25,0.00,0.00,0.00,1.37,0.00,0.85,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,75,5.27,0.63,62.23,0.33,0.40,0.24,0.00,0.00,0.00,1.47,0.00,0.95,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,85,5.65,0.69,62.68,0.31,0.38,0.23,0.00,0.00,0.00,1.47,0.00,1.00,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,95,5.87,0.72,61.30,0.29,0.36,0.21,0.00,0.00,0.00,1.43,0.00,1.02,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,105,5.96,0.75,58.67,0.27,0.34,0.19,0.00,0.00,0.00,1.36,0.00,1.02,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,115,5.94,0.76,55.09,0.26,0.32,0.18,0.00,0.00,0.00,1.27,0.00,1.00,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,125,5.83,0.76,50.85,0.24,0.30,0.16,0.00,0.00,0.00,1.17,0.00,0.97,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,135,5.65,0.75,46.20,0.22,0.28,0.15,0.00,0.00,0.00,1.07,0.00,0.92,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,145,5.40,0.74,41.37,0.21,0.26,0.14,0.00,0.00,0.00,0.97,0.00,0.87,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,155,5.11,0.71,36.56,0.19,0.24,0.12,0.00,0.00,0.00,0.87,0.00,0.81,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,165,4.78,0.68,31.90,0.18,0.22,0.11,0.00,0.00,0.00,0.77,0.00,0.75,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,175,4.43,0.65,27.53,0.16,0.20,0.10,0.00,0.00,0.00,0.68,0.00,0.69,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,185,4.07,0.61,23.49,0.15,0.19,0.09,0.00,0.00,0.00,0.60,0.00,0.62,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,195,3.71,0.57,19.86,0.14,0.17,0.08,0.00,0.00,0.00,0.53,0.00,0.56,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,205,3.35,0.53,16.62,0.12,0.15,0.07,0.00,0.00,0.00,0.46,0.00,0.51,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,215,3.01,0.49,13.80,0.11,0.14,0.06,0.00,0.00,0.00,0.40,0.00,0.45,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,225,2.68,0.45,11.36,0.10,0.13,0.05,0.00,0.00,0.00,0.34,0.00,0.40,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,235,2.37,0.41,9.28,0.09,0.11,0.05,0.00,0.00,0.00,0.29,0.00,0.35,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,245,2.08,0.37,7.52,0.08,0.10,0.04,0.00,0.00,0.00,0.25,0.00,0.31,0.00,0.00,0.00,0.00
82,5e,PJ1,Exten,255,1.82,0.33,6.06,0.07,0.09,0.03,0.00,0.00,0.00,0.21,0.00,0.27,0.00,0.00,0.00,0.00
83,5e,PJ1,Basc1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
